forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+2,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,38,42.36160546850323,31.375758834990947,-0.13227696021195023,-0.33024004877527513,48.63675723550142
H+2,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,24,42.36020494617247,31.468980345277842,-0.13220209274949135,-0.29361318337122055,48.65400101522804
H+2,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,54,42.428077116016205,31.823054052342695,-0.13583316940632728,-0.34820275232269565,48.792687926484746
H+2,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,38,42.760796526254495,31.81198617540637,-0.1537173423800653,-0.3152480211043043,49.12319376133577
H+2,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,21,42.8075912402117,32.68286499184743,-0.15624383476893078,-0.28575450311624645,49.344164238581186
H+2,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,39,42.86957925928365,32.47713098385108,-0.159594883330479,-0.3360760250566126,49.365005456053865
