forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+11,regressor,0.05,15,20,0.85,0.85,1,400,43.168769005919245,24.82959652611329,-0.17583714931943373,0.21710342008127384,66.6754611088713
H+11,regressor,0.05,31,20,0.85,0.85,1,400,43.168769005919245,24.82959652611329,-0.17583714931943373,0.21710342008127384,66.6754611088713
H+11,regressor,0.05,15,20,0.85,0.85,1,500,43.19035664432897,24.85719580893286,-0.17701345777744004,0.21541976828861664,66.71990185629687
H+11,regressor,0.05,31,20,0.85,0.85,1,500,43.19035664432897,24.85719580893286,-0.17701345777744004,0.21541976828861664,66.71990185629687
H+11,regressor,0.05,15,20,0.85,0.85,1,600,43.22108197848976,24.86803689559679,-0.178688692624978,0.21572525305337223,66.76938721152041
H+11,regressor,0.05,31,20,0.85,0.85,1,600,43.22108197848976,24.86803689559679,-0.178688692624978,0.21572525305337223,66.76938721152041
H+11,regressor,0.03,15,20,0.85,0.85,1,500,43.756763224660794,25.57671962395795,-0.20808704116761167,0.18460588443966663,67.78894533779875
H+11,regressor,0.03,31,20,0.85,0.85,1,500,43.756763224660794,25.57671962395795,-0.20808704116761167,0.18460588443966663,67.78894533779875
H+11,regressor,0.03,15,20,0.85,0.85,1,400,43.76974215068217,25.548476866085778,-0.20880382168767175,0.18564456477069613,67.79635912972012
H+11,regressor,0.03,31,20,0.85,0.85,1,400,43.76974215068217,25.548476866085778,-0.20880382168767175,0.18564456477069613,67.79635912972012
H+11,regressor,0.03,15,20,0.85,0.85,1,600,43.796534005518325,25.630200541879187,-0.21028411409221626,0.1819506986303701,67.85878810479731
H+11,regressor,0.03,31,20,0.85,0.85,1,600,43.796534005518325,25.630200541879187,-0.21028411409221626,0.1819506986303701,67.85878810479731
H+11,regressor,0.05,7,20,0.85,0.85,1,400,44.009254889864394,26.233037111391614,-0.22206942725029832,0.1774905603055468,68.34442770373775
H+11,regressor,0.05,7,20,0.85,0.85,1,500,44.10014456323451,26.31381956186844,-0.22712237295750182,0.17068350299664112,68.48035282051309
H+11,regressor,0.05,7,20,0.85,0.85,1,600,44.11629480513526,26.347818669050074,-0.22802132475320036,0.16848345433293954,68.49773264793535
H+11,regressor,0.05,31,10,0.85,0.85,1,600,43.941445124097335,25.91764402638652,-0.21830638241625722,0.3172935428383641,68.50615890449907
H+11,regressor,0.05,31,10,0.85,0.85,1,400,43.950185385483024,25.924593917729695,-0.21879108997252672,0.3128166192662141,68.51478160092756
H+11,regressor,0.05,31,10,0.85,0.85,1,500,43.95005916996203,25.922673588897442,-0.21878408976853825,0.31591675541346004,68.51767545997242
H+11,regressor,0.03,31,5,0.85,0.85,1,400,44.05860286643833,26.070669773382672,-0.2248115988602184,0.25864588076674744,68.69363198582657
H+11,regressor,0.03,31,5,0.85,0.85,1,500,44.059428785849356,26.07156202203992,-0.22485751975149415,0.25895672956545135,68.6952879025183
H+11,regressor,0.03,31,5,0.85,0.85,1,600,44.06055848561757,26.071397423346426,-0.22492033214075313,0.25900108312956305,68.69722107950676
H+11,regressor,0.05,15,10,0.85,0.85,1,400,44.26052697780759,25.942315941443663,-0.23606414519448227,0.23241009792320413,68.84100857404286
H+11,regressor,0.05,15,10,0.85,0.85,1,600,44.27337261567006,25.959670945117995,-0.23678172980505718,0.2309844253160789,68.86252222433419
H+11,regressor,0.05,15,10,0.85,0.85,1,500,44.276814414558615,25.954878122524736,-0.23697403137102913,0.23139797614671773,68.866548316966
H+11,regressor,0.03,31,10,0.85,0.85,1,500,44.37100338627627,26.6304968477492,-0.2422423975480794,0.25463470383458686,69.24120962758951
H+11,regressor,0.03,31,10,0.85,0.85,1,400,44.37853490381331,26.62549830951145,-0.24266414885987153,0.25275956138196914,69.2509261193546
H+11,regressor,0.03,31,10,0.85,0.85,1,600,44.37641059694202,26.631047169415048,-0.24254518428318983,0.2560256611064849,69.25159214067645
H+11,regressor,0.05,31,5,0.85,0.85,1,400,44.42861112567996,26.283731658026824,-0.24547014659694022,0.26751066198910595,69.30483966946149
H+11,regressor,0.05,31,5,0.85,0.85,1,500,44.4287385956225,26.28332719776974,-0.2454772933535796,0.2676541624660955,69.3051108516401
H+11,regressor,0.05,31,5,0.85,0.85,1,600,44.4289769752147,26.28334081523576,-0.24549065844901818,0.26771497291222707,69.30554462660264
H+11,regressor,0.03,15,10,0.85,0.85,1,400,44.63149303376896,26.592084724357456,-0.25687092140624745,0.263544910599063,69.69954831833223
H+11,regressor,0.03,7,20,0.85,0.85,1,400,44.90025870928018,26.20464479466186,-0.27205396130624426,0.16256722750266975,69.7776589543797
H+11,regressor,0.03,15,10,0.85,0.85,1,500,44.68075678060693,26.615766407501727,-0.25964709307177114,0.2615210736912311,69.77947699977183
H+11,regressor,0.05,7,10,0.85,0.85,1,400,44.851926803240914,26.02644266379509,-0.2693168856425059,0.21521533371812404,69.79756807484235
H+11,regressor,0.03,15,10,0.85,0.85,1,600,44.69357891933319,26.61863290300429,-0.2603701644087464,0.2602671137755865,69.79850594484782
H+11,regressor,0.05,7,10,0.85,0.85,1,500,44.87393075256484,26.026053327027874,-0.27056262189143077,0.20910831462928234,69.8130604244382
H+11,regressor,0.05,7,10,0.85,0.85,1,600,44.901636106927384,26.023545929361738,-0.27213200767206036,0.20718955157518212,69.85678071226498
H+11,regressor,0.05,7,5,0.85,0.85,1,400,44.851570049699966,26.160380220855878,-0.26929669335535644,0.2565414293258359,69.87281455913478
H+11,regressor,0.05,7,5,0.85,0.85,1,500,44.88736189111324,26.182924401702603,-0.27132331551402933,0.24724304016283902,69.92711412194879
H+11,regressor,0.05,7,5,0.85,0.85,1,600,44.91252424037128,26.202342444319367,-0.27274903741221124,0.24377261261877664,69.96757102505926
H+11,regressor,0.03,7,20,0.85,0.85,1,500,45.01639700876024,26.343741189869643,-0.2786430212189397,0.15316097423871464,69.97930451602275
H+11,regressor,0.05,15,5,0.85,0.85,1,400,44.89171155541493,26.414805040169806,-0.27156971438148414,0.3468959405867824,70.0177737145437
H+11,regressor,0.05,15,5,0.85,0.85,1,500,44.89346723208505,26.41810199366061,-0.27166917634715815,0.34676510111141245,70.02069412682575
H+11,regressor,0.05,15,5,0.85,0.85,1,600,44.89437934049565,26.418838160548695,-0.2717208503213777,0.34664452908711885,70.0222151423477
H+11,regressor,0.03,7,20,0.85,0.85,1,600,45.095663096469266,26.407736536241497,-0.2831499240003845,0.14138735889128382,70.10213913896868
H+11,regressor,0.03,7,5,0.85,0.85,1,400,45.04686104269233,26.214310398400727,-0.28037420395311097,0.1842037324203995,70.1179078419347
H+11,regressor,0.03,7,5,0.85,0.85,1,500,45.09509036954453,26.22784214002902,-0.2831173315161939,0.17713171509049358,70.18909729849159
H+11,regressor,0.03,7,5,0.85,0.85,1,600,45.13484622635178,26.273615927923135,-0.2853807226894911,0.1774674322118226,70.25011274203007
H+11,regressor,0.03,7,10,0.85,0.85,1,400,45.033987958919134,26.840821786866996,-0.2796425210381781,0.24391911587371354,70.39775585786188
H+11,regressor,0.03,7,10,0.85,0.85,1,500,45.140667166120906,26.92528193889919,-0.28571228939987714,0.2240610499428723,70.56033177287807
H+11,regressor,0.03,7,10,0.85,0.85,1,600,45.17766917071605,26.95268645762487,-0.2878209613938709,0.21626412805447257,70.60825216772761
H+11,regressor,0.03,15,5,0.85,0.85,1,600,45.246734503367414,26.452789019766765,-0.29176148205832875,0.24003052472703423,70.61651626683064
H+11,regressor,0.03,15,5,0.85,0.85,1,400,45.24788725160462,26.433164438772494,-0.29182730315044636,0.24158801137856328,70.61971975064303
H+11,regressor,0.03,15,5,0.85,0.85,1,500,45.25055588951124,26.448709264761177,-0.2919796868828435,0.2409422453171439,70.62274757173918
