forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+4,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,37,39.23605343326191,29.4648294280878,0.028643875859912238,0.17138994407934768,45.12901931887947
H+4,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,62,39.749133520623,28.819673829290956,0.0030734089337474124,0.1230567502817419,45.513068286481186
H+4,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,40,40.16060889708104,29.52564713211254,-0.017673405859867986,0.04627180190096893,46.06573832350355
H+4,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,20,40.29809920831062,30.622994888851636,-0.024653366892491535,-0.024464081507252943,46.42269818608094
H+4,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,28,40.718159239683935,28.720039074128866,-0.04612630097472192,0.012328349321126308,46.462167054509706
H+4,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,44,41.603665642275296,30.184910915113168,-0.0921217160973018,-0.12801158421120526,47.64064782529793
