forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+8,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,36,39.22441735876066,29.103919290578528,0.02921993258481692,0.24497225304634349,45.045201216876364
H+8,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,57,39.518864790241075,28.482186170032158,0.014590444444445128,0.2880696094277033,45.21530202424751
H+8,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,21,39.85420183643615,30.25942238917092,-0.0022038801354062887,0.048101817373671085,45.90608631427033
H+8,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,40,40.26214206532838,29.65251651051922,-0.022825629557106764,0.014993964135867913,46.19264536743223
H+8,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,40,40.67611082622809,29.962979104485896,-0.043966810490038366,-0.08803917207068988,46.66870664712527
H+8,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,600,45.2403606167194,28.64675253737606,-0.29139756800240013,-0.026987379635919514,50.96971112419461
