forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+5,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,55,39.69906275694142,29.583943305988566,0.005583422710274011,0.10420744033051842,45.61585141813914
H+5,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,38,40.76970472025995,29.881292053276074,-0.04877657862921514,-0.04239903507451561,46.745963130915165
H+5,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,20,40.78713948446745,30.82617892365248,-0.04967376845276261,-0.05759375261205472,46.95237526919795
H+5,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,38,41.31282721917549,30.780388033475823,-0.07690571420330672,-0.11708602586983624,47.46890482587065
H+5,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,39,41.80685840684376,30.779650017861155,-0.10281563624887036,-0.16034005998825776,47.96278841041599
H+5,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,26,42.62155097870856,30.71075932919088,-0.14621568445590993,-0.1889835029799439,48.76370284454674
