forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+0,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,55,41.210087013886984,30.142699463729706,-0.07155609543881525,-0.27418666968908395,47.23862690663292
H+0,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,33,41.341791533173044,31.152979285620987,-0.07841627504403736,-0.2650469293677634,47.572387390297244
H+0,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,36,41.366853641736455,31.275666453850445,-0.07972418053111352,-0.23479410392735514,47.621986932506545
H+0,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,21,41.410217900818665,31.378667789922915,-0.08198908472796873,-0.2568314240057665,47.685951458803245
H+0,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,24,42.11478733830335,31.085918622737807,-0.11912106920188159,-0.24754656647713,48.33197106285091
H+0,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,41,42.54383346899907,31.464437744925636,-0.14203940227316747,-0.2901278815520207,48.836721017984196
