Model,forecast_horizon,forecast_horizon_label,target_year,RMSE_raw,MAE_raw,R2_raw,Correlation_raw,Bias_raw,Mean_pred_raw,Mean_actual_raw,RMSE_log_incidence,MAE_log_incidence,R2_log_incidence,Correlation_log_incidence,Precision,Recall,Outbreak_F1_count_threshold,False_alarm_rate,Specificity,TP,TN,FP,FN,High_week_RMSE_raw,High_week_MAE_raw,High_week_Bias_raw,High_week_Underprediction_rate
City-week Pure LightGBM H+0 - target year 2023,0,H+0,2023,7.773156388184846,5.869114497758361,-0.08047628809832341,0.4303959222678244,1.1333307342563304,20.094869195794793,18.96153846153846,0.06714685651293635,0.050538173838967033,-0.050678032377386106,0.4382486679679966,NA,NA,NA,0,1,0,52,0,0,8.827709968786932,7.112726372404726,-4.308268755966082,0.7857142857142857
City-week Pure LightGBM H+0 - target year 2024,0,H+0,2024,53.131103921106536,28.702242312069647,0.671563945573304,0.8938146129566414,-19.687041068631338,67.81295893136866,87.5,0.1863939126564726,0.12045861506686108,0.8215783703053801,0.9353600337869514,0.9523809523809523,1,0.975609756097561,0.03125,0.96875,20,31,1,0,103.94678068707108,88.38919023463428,-86.94177936711294,0.9230769230769231
City-week Pure LightGBM H+1 - target year 2023,1,H+1,2023,8.9415373228553,6.895741802029701,-0.4296996702511886,0.2788887345956865,0.0157819921299961,18.977320453668458,18.96153846153846,0.07799340744308443,0.05999371570300417,-0.41753590949934516,0.2695511894869189,NA,NA,NA,0,1,0,52,0,0,10.119571723402219,8.198995857380332,-5.3709925888929,0.7857142857142857
City-week Pure LightGBM H+1 - target year 2024,1,H+1,2024,58.35330451460249,35.105110632767826,0.6038277453081184,0.868667144309786,-24.537160631267035,62.962839368732965,87.5,0.22483476305752098,0.16321859521572663,0.740396242507611,0.8971915437928806,0.95,0.95,0.9500000000000001,0.03125,0.96875,19,31,1,1,111.21602914135708,97.15610078389032,-97.15610078389032,1
City-week Pure LightGBM H+2 - target year 2023,2,H+2,2023,8.936110926513003,7.048939733698399,-0.4279648985498208,0.3721154169165397,3.6690824643304225,22.630620925868882,18.96153846153846,0.07771657598609073,0.06060971798834055,-0.4074909040386312,0.3645941787253635,NA,NA,NA,0,1,0,52,0,0,6.242301597469034,5.367764034063845,-1.6222209286067777,0.5714285714285714
City-week Pure LightGBM H+2 - target year 2024,2,H+2,2024,58.52957694047871,36.548319765084955,0.6014306326892505,0.8816685601679647,-25.86052155058131,61.63947844941869,87.5,0.22824723508268152,0.1690451940035293,0.7324560696138129,0.8987211516891577,0.9,0.9,0.9,0.0625,0.9375,18,30,2,2,111.40300377020169,101.97277170587952,-101.97277170587952,1
City-week Pure LightGBM H+3 - target year 2023,3,H+3,2023,8.056542488167668,6.099582999839175,-0.1606942507162925,0.42639447809688985,2.0894028665500413,21.050941328088502,18.96153846153846,0.07054870960709343,0.05302617425233785,-0.15983558532150188,0.42362655596946275,NA,NA,NA,0,1,0,52,0,0,7.010767876449551,5.312094391228338,-3.291899985129204,0.6428571428571429
City-week Pure LightGBM H+3 - target year 2024,3,H+3,2024,67.6645935504875,41.32380444492418,0.46730808885660746,0.8080348045332393,-30.657067912663475,56.84293208733652,87.5,0.26892346629973435,0.19790543156884807,0.6286003816442716,0.8539846861755271,0.9444444444444444,0.85,0.8947368421052632,0.03125,0.96875,17,31,1,3,130.48203089082952,117.93190813833402,-117.93190813833402,1
City-week Pure LightGBM H+4 - target year 2023,4,H+4,2023,9.485278402325209,7.925661520985549,-0.6088686693082861,0.10757477351845532,-3.2454932170560644,15.716045244482398,18.96153846153846,0.08294644054004649,0.06951969377519046,-0.6032962921556122,0.11411949276482265,NA,NA,NA,0,1,0,52,0,0,13.710171183439666,12.744863659076586,-12.086076025835052,0.9285714285714286
City-week Pure LightGBM H+4 - target year 2024,4,H+4,2024,80.62745857204014,49.042054033122085,0.2436564827552754,0.7970893896341035,-44.16775189293902,43.33224810706098,87.5,0.3355253448990675,0.23729396681083625,0.4218577409393387,0.8347643671660033,1,0.7,0.8235294117647058,0,1,14,32,0,6,156.5660386000452,147.82443358641615,-147.82443358641615,1
