forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+6,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,53,40.681860097043554,29.931408626798945,-0.04426194549516671,-0.1503316909378557,46.66814182240334
H+6,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,33,40.605413726709834,30.315138505602523,-0.0403410318572861,-0.13471063855140958,46.66844142783034
H+6,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,21,41.19428172139089,30.560564275284744,-0.0707343058740535,-0.19771062480609222,47.306394576447836
H+6,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,33,41.2718337414757,30.940985910156233,-0.07476961212943345,-0.16786749673784082,47.46003092350695
H+6,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,22,42.491454994867695,31.93512189849046,-0.13922905570443933,-0.19906274713948402,48.878479374565785
H+6,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,39,42.58196827533849,31.85862780311861,-0.14408768832944707,-0.23210687186558526,48.95369383596221
