forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+3,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,57,40.936426073004334,29.5812844568945,-0.0573717337367905,-0.07249611270169168,46.852682964383234
H+3,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,39,41.25907373298889,30.403251923013954,-0.074105142047036,-0.13428611393888215,47.33972411759168
H+3,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,34,41.29983476662522,30.86186070652247,-0.07622846952066253,-0.124707892522988,47.47220690792971
H+3,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,20,41.20288260579185,31.39829014509331,-0.07118146615927845,-0.10459108510542547,47.48254063481051
H+3,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,45,41.49962153389902,30.076865665623124,-0.08666610324782309,-0.1165250802000553,47.51499466702364
H+3,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,20,41.39373564689653,31.590824170393834,-0.08112794124036649,-0.21205734273922702,47.711900480975295
