forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+9,regressor,0.05,31,5,0.85,0.85,1,500,43.74752204356939,26.879806720448464,-0.20757681274136908,0.13008726569130227,65.68881023971828
H+9,regressor,0.05,31,5,0.85,0.85,1,400,43.74740573531801,26.879755339490835,-0.2075703917623406,0.13009172775118766,65.68886507384951
H+9,regressor,0.05,31,5,0.85,0.85,1,600,43.74762584336391,26.8796280023384,-0.20758254318587777,0.13007351483860732,65.68890976388111
H+9,regressor,0.05,15,5,0.85,0.85,1,600,43.421896751465944,25.31387171882036,-0.1896670377939884,0.1740195841033373,65.84556383850267
H+9,regressor,0.05,15,5,0.85,0.85,1,500,43.42216713723913,25.313735056140224,-0.18968185382310843,0.17407217018895815,65.84566821088744
H+9,regressor,0.05,15,5,0.85,0.85,1,400,43.42495425683546,25.316895180865828,-0.1898345818991689,0.17375946646286677,65.85134286324963
H+9,regressor,0.03,31,5,0.85,0.85,1,400,43.916563719199196,26.93965436435304,-0.21692706537108397,0.12732302063386353,65.97213521859545
H+9,regressor,0.03,31,5,0.85,0.85,1,500,43.917016272409526,26.94016136928997,-0.21695214598036205,0.12729649823150802,65.97240522089282
H+9,regressor,0.03,31,5,0.85,0.85,1,600,43.91711578400159,26.939533782518996,-0.21695766097172497,0.12732195654461406,65.9724338735649
H+9,regressor,0.03,31,10,0.85,0.85,1,400,43.18514503865842,24.79104520713345,-0.1767294240070756,0.19045459935815526,66.3776158105922
H+9,regressor,0.03,31,10,0.85,0.85,1,500,43.196671152911385,24.809624943369535,-0.17735764594643477,0.18989440815964084,66.39817507713428
H+9,regressor,0.03,31,10,0.85,0.85,1,600,43.19728903809473,24.80902076016668,-0.17739132803481783,0.18999394898490976,66.40038595091298
H+9,regressor,0.03,15,5,0.85,0.85,1,400,43.83521003926586,25.47137615028102,-0.21242262383719934,0.15332089144973846,66.47771598824488
H+9,regressor,0.03,15,5,0.85,0.85,1,500,43.84930286662246,25.47438146145792,-0.21320232624159074,0.15301482020990165,66.49256961492107
H+9,regressor,0.03,15,5,0.85,0.85,1,600,43.85597485675143,25.479105306980845,-0.21357154943249412,0.15249891247385722,66.50498537020994
H+9,regressor,0.05,31,10,0.85,0.85,1,600,43.2484942405602,24.543905892265933,-0.18018429468174402,0.19914773129809585,66.61387185252741
H+9,regressor,0.05,31,10,0.85,0.85,1,500,43.24859387759399,24.54864455000257,-0.18018973256807835,0.19889454093720546,66.61471458850517
H+9,regressor,0.05,31,10,0.85,0.85,1,400,43.25074660865841,24.55260326587454,-0.18030722514308772,0.1984390235926646,66.61894074198818
H+9,regressor,0.03,7,5,0.85,0.85,1,400,43.52122852149731,25.054104241023726,-0.19511621924720357,0.20875607791670414,66.90350318429184
H+9,regressor,0.03,7,5,0.85,0.85,1,500,43.556551409837006,25.035796729352068,-0.1970569773343871,0.21153197663163872,66.95908293726768
H+9,regressor,0.03,7,5,0.85,0.85,1,600,43.6036551696912,25.0459944559814,-0.19964746586102478,0.21024776739130557,67.02305046081403
H+9,regressor,0.03,15,10,0.85,0.85,1,400,43.61300191302397,24.800529939880143,-0.20016182635120106,0.19632438852358144,67.11100807549207
H+9,regressor,0.03,15,10,0.85,0.85,1,500,43.6207744736633,24.82880029456765,-0.2005896419747426,0.19608952152717302,67.12602842186575
H+9,regressor,0.03,15,10,0.85,0.85,1,600,43.630534751423156,24.84019249378787,-0.20112697307448646,0.19510717323590548,67.14860316100248
H+9,regressor,0.03,15,20,0.85,0.85,1,400,43.63685119538275,25.0509439639883,-0.20147477538475833,0.24931383792144388,67.15508801051574
H+9,regressor,0.03,31,20,0.85,0.85,1,400,43.63685119538275,25.0509439639883,-0.20147477538475833,0.24931383792144388,67.15508801051574
H+9,regressor,0.03,15,20,0.85,0.85,1,500,43.64156039451486,25.084971179264038,-0.2017341107452848,0.2457993434995993,67.1745188859465
H+9,regressor,0.03,31,20,0.85,0.85,1,500,43.64156039451486,25.084971179264038,-0.2017341107452848,0.2457993434995993,67.1745188859465
H+9,regressor,0.03,15,20,0.85,0.85,1,600,43.6755838320869,25.139365475302967,-0.20360861125124186,0.24162384024620714,67.23603018956898
H+9,regressor,0.03,31,20,0.85,0.85,1,600,43.6755838320869,25.139365475302967,-0.20360861125124186,0.24162384024620714,67.23603018956898
H+9,regressor,0.05,15,20,0.85,0.85,1,400,43.82996757328361,25.161748871435194,-0.21213264214082517,0.22899629425399737,67.4922190110378
H+9,regressor,0.05,31,20,0.85,0.85,1,400,43.82996757328361,25.161748871435194,-0.21213264214082517,0.22899629425399737,67.4922190110378
H+9,regressor,0.05,7,5,0.85,0.85,1,400,43.92775569204533,24.831102020987867,-0.21754740307500797,0.23744826479424008,67.53174640109889
H+9,regressor,0.05,15,20,0.85,0.85,1,500,43.84929756468822,25.18394609088711,-0.21320203285865658,0.2267245606455272,67.536361956933
H+9,regressor,0.05,31,20,0.85,0.85,1,500,43.84929756468822,25.18394609088711,-0.21320203285865658,0.2267245606455272,67.536361956933
H+9,regressor,0.05,7,5,0.85,0.85,1,500,43.92497817886005,24.83681189942816,-0.2173934390493113,0.23686574459620477,67.53750494028691
H+9,regressor,0.05,15,20,0.85,0.85,1,600,43.8534628408684,25.20024065029075,-0.21343252966563853,0.22396975752729228,67.54771526646583
H+9,regressor,0.05,31,20,0.85,0.85,1,600,43.8534628408684,25.20024065029075,-0.21343252966563853,0.22396975752729228,67.54771526646583
H+9,regressor,0.05,7,5,0.85,0.85,1,600,43.96365060334445,24.8784091753951,-0.2195380174956043,0.23480841445819553,67.60268148386163
H+9,regressor,0.05,15,10,0.85,0.85,1,400,44.215082136779834,25.088464782440006,-0.2335271713031386,0.19253494331838844,68.36535148210478
H+9,regressor,0.05,15,10,0.85,0.85,1,500,44.21744491984998,25.100180636030114,-0.23365901025268698,0.19259532684887457,68.37455353013661
H+9,regressor,0.05,15,10,0.85,0.85,1,600,44.220555385092055,25.106705688664285,-0.23383257923408052,0.1927065167906722,68.37984362056682
H+9,regressor,0.03,7,20,0.85,0.85,1,500,44.751525623135244,25.788330812712154,-0.26364050632613134,0.22151332270995744,69.22084902873891
H+9,regressor,0.03,7,20,0.85,0.85,1,400,44.798929361623365,25.812664191063227,-0.26631898528059694,0.2194932623327985,69.26729942042834
H+9,regressor,0.03,7,20,0.85,0.85,1,600,44.8032288244461,25.837037822078003,-0.26656206040480646,0.21754504274480665,69.31805004574774
H+9,regressor,0.03,7,10,0.85,0.85,1,400,44.8636224874509,26.159299374788,-0.2699789515153048,0.25742543933239626,69.63730375666849
H+9,regressor,0.03,7,10,0.85,0.85,1,500,44.86681963688824,26.183352892134867,-0.27015996485937577,0.2620299709070049,69.6401438983278
H+9,regressor,0.05,7,20,0.85,0.85,1,500,45.04060126517586,26.251598413308354,-0.2800183833435985,0.19956613386803326,69.64193999781617
H+9,regressor,0.05,7,20,0.85,0.85,1,600,45.05834456835189,26.28154219519199,-0.2810270833673507,0.19757835617262168,69.6833892017422
H+9,regressor,0.05,7,20,0.85,0.85,1,400,45.07961415546645,26.260909009915345,-0.2822367748595116,0.19625492396228447,69.69320670520783
H+9,regressor,0.03,7,10,0.85,0.85,1,600,44.9565657758912,26.271980892750697,-0.27524639449790933,0.25547347122803804,69.79623019248768
H+9,regressor,0.05,7,10,0.85,0.85,1,400,45.242154229338986,26.690558826112774,-0.2914999682865269,0.2964949314461877,70.40887247772153
H+9,regressor,0.05,7,10,0.85,0.85,1,500,45.23476585774074,26.723042474520405,-0.2910781801244988,0.29799442752422395,70.41617841084792
H+9,regressor,0.05,7,10,0.85,0.85,1,600,45.23684064868489,26.74673329706043,-0.2911966190596018,0.29765769842329226,70.41664745759603
