forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+10,regressor,0.05,31,5,0.85,0.85,1,600,45.07866313489561,25.6195649585846,-0.2821826740997979,0.06564222439201195,69.20074669119893
H+10,regressor,0.05,31,5,0.85,0.85,1,500,45.08756538085624,25.618120550660077,-0.2826891413195458,0.06572560474342674,69.21699647643487
H+10,regressor,0.05,31,5,0.85,0.85,1,400,45.10857242352253,25.625635011446587,-0.28388467194844713,0.06513129101416092,69.25663241820789
H+10,regressor,0.05,7,5,0.85,0.85,1,400,44.833949069578445,25.472944551596857,-0.26829954394780486,0.1752530346213894,69.38603588958638
H+10,regressor,0.05,7,5,0.85,0.85,1,500,44.8405578492064,25.493882990603314,-0.2686734806691047,0.17206352967127908,69.40019021891564
H+10,regressor,0.05,7,5,0.85,0.85,1,600,44.83911470121171,25.53209159505934,-0.2685918200379802,0.16621656620292896,69.40872289961912
H+10,regressor,0.03,7,5,0.85,0.85,1,400,44.970082347586434,25.65614629934982,-0.27601333700081554,0.14850027709625288,69.47334473603215
H+10,regressor,0.03,31,5,0.85,0.85,1,600,45.16266633155195,25.64619241115546,-0.2869657706323505,0.057949060241198475,69.51053258041128
H+10,regressor,0.03,31,5,0.85,0.85,1,500,45.17644304809008,25.649987968080364,-0.2877510593816355,0.05827709261169764,69.5347198387253
H+10,regressor,0.03,7,5,0.85,0.85,1,500,45.027090748288344,25.677235562432067,-0.2792505820371485,0.14490699724571146,69.56950026024958
H+10,regressor,0.03,31,5,0.85,0.85,1,400,45.196820509378455,25.661841023409387,-0.2889130373416604,0.057776775509783516,69.57189593165795
H+10,regressor,0.03,7,5,0.85,0.85,1,600,45.039829274903745,25.661428959071927,-0.2799745050096587,0.1428091789390877,69.58512399688718
H+10,regressor,0.05,31,10,0.85,0.85,1,400,44.92179569972149,25.314386581940735,-0.27327456828124186,0.18910452346791606,69.631604718395
H+10,regressor,0.05,31,10,0.85,0.85,1,600,44.93066290546952,25.318844446327933,-0.27377728647009514,0.1883736364160416,69.64592167878222
H+10,regressor,0.05,31,10,0.85,0.85,1,500,44.933314478765396,25.314207052966587,-0.27392763428519085,0.18870742581860986,69.6489465344174
H+10,regressor,0.03,15,20,0.85,0.85,1,400,45.398701463620384,25.75261060605928,-0.300453146808386,0.11092610062561509,69.95427584530303
H+10,regressor,0.03,31,20,0.85,0.85,1,400,45.398701463620384,25.75261060605928,-0.300453146808386,0.11092610062561509,69.95427584530303
H+10,regressor,0.03,15,5,0.85,0.85,1,500,45.39983635098667,25.5493237307519,-0.30051816568541234,0.11991706578977725,69.98694063658468
H+10,regressor,0.03,15,5,0.85,0.85,1,400,45.39919767675081,25.553305575615926,-0.30048157517451823,0.1209525474251214,69.98698315716189
H+10,regressor,0.03,15,20,0.85,0.85,1,500,45.42468147256231,25.7541450567154,-0.3019419758045765,0.10774013973153544,69.99014349738161
