"Model","Horizon","forecast_horizon","forecast_horizon_label","RMSE_raw","MAE_raw","R2_raw","Correlation_raw","Bias_raw","Mean_pred_raw","Mean_actual_raw","RMSE_log_incidence","MAE_log_incidence","R2_log_incidence","Correlation_log_incidence","Precision","Recall","Outbreak_F1_count_threshold","False_alarm_rate","Specificity","TP","TN","FP","FN","Outbreak_week_RMSE_raw","Outbreak_week_MAE_raw","Outbreak_week_Bias_raw","Outbreak_week_Underprediction_rate","Large_outbreak_RMSE_raw","Large_outbreak_MAE_raw","Large_outbreak_Bias_raw","Large_outbreak_Underprediction_rate"
"Pure environmental XGBoost regressor","H+0",0,"H+0",1.57364203293559,0.832865930787194,0.198393882397266,0.484030176824102,0.154829483916826,0.820214099301441,0.665384615384615,0.544399913139439,0.428001392598455,-0.0290698771586082,0.296027525045366,0.450610432852386,0.376274328081557,0.41010101010101,0.0683607236569535,0.931639276343047,406,6746,495,673,3.5203512635589,2.45667617778565,-1.9559171431832,0.837812789620018,6.4220427361154,5.33359853925143,-5.25833973828787,0.9800796812749
"Pure environmental XGBoost regressor","H+1",1,"H+1",1.60730862439065,0.850433028856004,0.170232654827756,0.469081492286296,0.15924674626233,0.828178785097282,0.668932038834951,0.556664654679329,0.434891217698934,-0.0732592204724529,0.253662510232638,0.432126696832579,0.355679702048417,0.390194075587334,0.0700530281886687,0.929946971811331,382,6664,502,692,3.53808982886027,2.47248857282367,-1.98383965791733,0.846368715083799,6.37122282131014,5.3149783292407,-5.24659388123946,0.960159362549801
"Pure environmental XGBoost regressor","H+2",2,"H+2",1.69609648214642,0.865708282405429,0.08289783453487,0.40081985216542,0.128371136547639,0.800552509096659,0.67218137254902,0.566099088076932,0.436648087315417,-0.104568390734862,0.21504944277662,0.401913875598086,0.314901593252109,0.353126642143983,0.0704920344001128,0.929507965599887,336,6593,500,731,3.81725970492169,2.64242130865264,-2.13291479232371,0.853795688847235,6.94975719659675,5.69503294822523,-5.60307477332582,0.960159362549801
"Pure environmental XGBoost regressor","H+3",3,"H+3",1.66198627466978,0.857005919357873,0.126345092584157,0.44818841938507,0.164691194970099,0.839814957346337,0.675123762376238,0.563343033874456,0.43209095113072,-0.0895831404620993,0.265836645157036,0.421753607103219,0.358829084041549,0.387755102040816,0.0742059535678678,0.925794046432132,380,6500,521,679,3.68180825273095,2.53456077543969,-1.92042292000183,0.824362606232295,6.62285787506567,5.39488337574616,-5.21618846514319,0.948207171314741
"Pure environmental XGBoost regressor","H+4",4,"H+4",1.70667296066724,0.877590976806864,0.0857852126823829,0.434177204269532,0.189691318027385,0.868441318027385,0.67875,0.578288487674207,0.442998509794644,-0.141859130827459,0.246515118365311,0.42707240293809,0.386514719848053,0.405782652043868,0.0785950770116597,0.92140492298834,407,6401,546,646,3.75361014157386,2.56114620316935,-1.8436305771007,0.802469135802469,6.69251375565374,5.46879906074394,-5.1985171873376,0.932270916334661
"Pure environmental XGBoost regressor","H+5",5,"H+5",1.7151867897087,0.894607657797116,0.0834942217989009,0.426488781340838,0.19729033797601,0.879108519794192,0.681818181818182,0.580690483579336,0.450004589953964,-0.144629854913342,0.231626274142901,0.417616580310881,0.38527724665392,0.400795624067628,0.0817573465231306,0.918242653476869,403,6312,562,643,3.73049726976364,2.56876604085977,-1.89109662301596,0.812619502868069,6.70532500319152,5.47076203001508,-5.28730624048744,0.944
"Pure environmental XGBoost regressor","H+6",6,"H+6",1.68353991469873,0.901153047311549,0.124455700957896,0.460138579423315,0.230560366742934,0.91627465245722,0.685714285714286,0.577554490653715,0.45589719675124,-0.124945082789192,0.267132171792856,0.428286852589641,0.41385948026949,0.420949583945179,0.0843993530363182,0.915600646963682,430,6227,574,609,3.60653751739999,2.50899512243933,-1.77873821805901,0.789220404234841,6.43626912746806,5.25989888375894,-5.06749376638787,0.932
"Pure environmental XGBoost regressor","H+7",7,"H+7",1.79077358925022,0.954228039593804,0.0165679496748725,0.464007875513156,0.323414563435128,1.0118166252908,0.68840206185567,0.596337293346221,0.466736226088941,-0.194011780319676,0.286534476422948,0.435018050541516,0.467054263565891,0.450467289719626,0.0930439952437574,0.906956004756243,482,6102,626,550,3.75993149997797,2.62573155971833,-1.38868837626072,0.723837209302326,6.42795480221026,5.30771120098314,-4.49507039962803,0.883534136546185
"Pure environmental XGBoost regressor","H+8",8,"H+8",1.69594000533142,0.928957864624893,0.125466907604228,0.496200214808731,0.290642713343473,0.98348125501014,0.692838541666667,0.580758905824515,0.461536494672732,-0.124918269014346,0.317057941047233,0.423357664233577,0.45224171539961,0.437323279924599,0.094980462879471,0.905019537120529,464,6022,632,562,3.54895209311002,2.5323757911879,-1.51696247040879,0.764132553606238,6.05048738493614,5.10140280054588,-4.61639690073529,0.927710843373494
"Pure environmental XGBoost regressor","H+9",9,"H+9",1.64355228177299,0.891336582428318,0.185719844154391,0.499196133545823,0.206833682424185,0.904859998213659,0.698026315789474,0.567032942704292,0.446843128283446,-0.0650750987854498,0.322316948315628,0.443624868282403,0.411534701857283,0.426977687626775,0.0802797628097917,0.919720237190208,421,6049,528,602,3.58242063653104,2.55863351381327,-1.73451587768553,0.792766373411535,6.28986617563726,5.32999791137872,-4.92488539835796,0.927710843373494
"Pure environmental XGBoost regressor","H+10",10,"H+10",1.72272944782874,0.939627054406227,0.113384159670183,0.469924632656417,0.255512860225956,0.958571370864254,0.703058510638298,0.587278181757797,0.463372952349091,-0.137817945321612,0.281179443469711,0.420498084291188,0.43081452404318,0.425593795443529,0.0930626057529611,0.906937394247039,439,5896,605,580,3.65063223984245,2.61595713523159,-1.68208647942795,0.782139352306182,6.30965759266485,5.32700336664588,-4.88804717967128,0.931726907630522
"Pure environmental XGBoost regressor","H+11",11,"H+11",1.67145539713547,0.93807169935964,0.172336280137352,0.523959265869766,0.30723699765774,1.01476387937817,0.70752688172043,0.582000013185862,0.466143354850035,-0.11075911146357,0.332605780786549,0.424295774647887,0.47534516765286,0.448372093023256,0.101774042950514,0.898225957049486,482,5772,654,532,3.36417521411835,2.42097047875194,-1.48605495981609,0.768244575936884,5.66285609163164,4.76156644631036,-4.4453261463293,0.939759036144578
"Pure environmental XGBoost regressor","H+12",12,"H+12",1.70551080079107,0.944245063771998,0.145769655346283,0.498035158860418,0.28540818803021,0.997228840204123,0.711820652173913,0.587725613285496,0.465571355182156,-0.12781747200704,0.305070516665471,0.431818181818182,0.471698113207547,0.450878025628856,0.0983787187155674,0.901621281284433,475,5728,625,532,3.49900804536212,2.50863546444302,-1.58433747516084,0.761668321747766,6.01204512714714,5.08717897354974,-4.62925049949462,0.919678714859438
