forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+11,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,21,39.59644254249689,29.425157631520165,0.010717818419613612,0.15915279031264407,45.48147406880092
H+11,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,36,39.72538433952894,28.81296899524798,0.00426433387053704,0.2218723639610235,45.487978138578534
H+11,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,49,39.61494739829324,29.419179099415874,0.009792947366149107,0.18260758417321185,45.49878321817641
H+11,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,37,39.95876437247208,29.14156684286537,-0.007469595834651566,0.056290036934362644,45.78707774104515
H+11,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,36,39.95648218127726,29.22224284827509,-0.0073545185734889,0.07171232194938303,45.80093075093228
H+11,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,22,40.19441795396049,29.259570225198402,-0.01938757611438291,-0.013584995357455044,46.046331999000174
