forecast_horizon,forecast_horizon_label,model_key,keep_per_var,score,RMSE_raw,MAE_raw,R2_raw,feature_count
9,H+9,lgb,3,67.12602842186575,43.6207744736633,24.82880029456765,-0.2005896419747426,76
9,H+9,lgb,5,68.39982376437486,44.43409636434036,24.988071113184866,-0.24577770168599722,98
9,H+9,lgb,4,68.57492291386335,44.393726078289944,25.37550706826496,-0.24351504485797082,87
9,H+9,lgb,2,69.07703529652642,44.48532608202622,25.60856885700327,-0.248651964285592,65
9,H+9,lgb,1,70.0162359790159,45.10773555530401,25.775976526444058,-0.28383703433751073,54
