forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+10,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,22,39.34303114421008,29.065817460684634,0.02333981969740817,0.1963077571835647,45.15619463634701
H+10,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,35,39.556624684110496,28.898032816507165,0.01270644616491623,0.21758727414591522,45.33623124741193
H+10,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,54,39.926625956460796,29.080838457672602,-0.005849653042983904,0.09320685454502146,45.74279364799531
H+10,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,22,39.929580610020416,29.403930951220104,-0.005998528493958766,0.07890997595043786,45.81036680026444
H+10,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,37,39.98835437057822,29.498483835506974,-0.008962237643343585,0.053731290720024,45.88805113767962
H+10,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,40,40.2881943448339,29.299262056735127,-0.02414973001420284,0.005048409530082345,46.148046756180925
