Model,forecast_horizon,forecast_horizon_label,target_year,RMSE_raw,MAE_raw,R2_raw,Correlation_raw,Bias_raw,Mean_pred_raw,Mean_actual_raw,RMSE_log_incidence,MAE_log_incidence,R2_log_incidence,Correlation_log_incidence,Precision,Recall,Outbreak_F1_count_threshold,False_alarm_rate,Specificity,TP,TN,FP,FN,High_week_RMSE_raw,High_week_MAE_raw,High_week_Bias_raw,High_week_Underprediction_rate
City-week environmental-only LightGBM H+0 - target year 2023,0,H+0,2023,17.26384499006923,15.196300896246228,-4.329610677369774,0.23642444685251796,14.885941816594084,33.847480278132544,18.96153846153846,0.14213159944231235,0.1247684264979366,-3.7076001368516307,0.2405335142153786,NA,NA,NA,0,1,0,52,0,0,10.454673768248668,8.402490874981554,7.249728579130731,0.14285714285714285
City-week environmental-only LightGBM H+0 - target year 2024,0,H+0,2024,110.28348085625625,69.71567112358086,-0.4150574679614454,-0.5135544018936268,-58.56597323537732,28.93402676462268,87.5,0.5263573944683663,0.3702532527437364,-0.42280541399792915,-0.5629854498951526,NA,0,NA,0,1,0,32,0,20,210.5517151891003,202.1313979923576,-202.1313979923576,1
City-week environmental-only LightGBM H+1 - target year 2023,1,H+1,2023,19.66287871107033,17.954334871563947,-5.913765263694248,0.26542288090694055,17.71676602757873,36.67830448911719,18.96153846153846,0.16034218199072467,0.14578346713593798,-4.991200569787236,0.26365013643209256,NA,NA,NA,0,1,0,52,0,0,12.238509863108794,10.53036411384211,9.647965550468435,0.07142857142857142
City-week environmental-only LightGBM H+1 - target year 2024,1,H+1,2024,108.78890387114,69.18740463161868,-0.3769632490310246,-0.07607744849062784,-56.52716675186484,30.97283324813516,87.5,0.5145780645761872,0.3658787789482909,-0.3598361757115105,-0.09315077699017037,NA,0,NA,0,1,0,32,0,20,207.7219478115063,199.15171629768483,-199.15171629768483,1
City-week environmental-only LightGBM H+2 - target year 2023,2,H+2,2023,19.37456567341681,17.68003421768725,-5.712501268224049,0.182810873765403,17.40137659554235,36.36291505708081,18.96153846153846,0.15887891952359925,0.1440130586760087,-4.882349649514086,0.1807138649476277,NA,NA,NA,0,1,0,52,0,0,10.63821011103411,9.384572276879625,8.349558251769993,0.14285714285714285
City-week environmental-only LightGBM H+2 - target year 2024,2,H+2,2024,107.92900137101675,67.96601215955158,-0.3552813582131349,0.3959670976058049,-57.20777109027408,30.292228909725917,87.5,0.5071295361659686,0.3565543224567147,-0.3207537820412638,0.41750204718574435,NA,0,NA,0,1,0,32,0,20,206.52019097373332,197.85635487226028,-197.85635487226028,1
City-week environmental-only LightGBM H+3 - target year 2023,3,H+3,2023,19.01934729261743,17.41011659160592,-5.468620117227287,0.18676758333640808,17.137470509505658,36.09900897104412,18.96153846153846,0.1564638562277656,0.1421231736410643,-4.704877714761958,0.18488296573555288,NA,NA,NA,0,1,0,52,0,0,10.595812837750287,9.361701095781655,8.349015647980679,0.14285714285714285
City-week environmental-only LightGBM H+3 - target year 2024,3,H+3,2024,107.35017222004777,67.67201637291683,-0.34078344285944584,0.23253727729039322,-55.73911666185554,31.76088333814446,87.5,0.5023663863416188,0.3543706521283368,-0.29606026990175827,0.27431126560604663,NA,0,NA,0,1,0,32,0,20,205.9272912584838,197.0096741629452,-197.0096741629452,1
City-week environmental-only LightGBM H+4 - target year 2023,4,H+4,2023,20.359876038891542,18.515419943747023,-6.4126021047976165,0.14930975449491726,18.22126407748953,37.18280253902799,18.96153846153846,0.1659887812281797,0.15005488322512703,-5.420602041146258,0.1435609071449136,NA,NA,NA,0,1,0,52,0,0,12.897919663912175,10.779646878803623,9.68706794699007,0.14285714285714285
City-week environmental-only LightGBM H+4 - target year 2024,4,H+4,2024,107.99234386339856,66.87727236821254,-0.35687262820315624,0.3155710606653761,-57.39535985149167,30.10464014850833,87.5,0.506343643534032,0.34817806186639444,-0.31666344090937026,0.39347345906020864,NA,0,NA,0,1,0,32,0,20,207.6359199167681,198.86660941909426,-198.86660941909426,1
