forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+7,regressor,0.03,15,20,0.85,0.85,1,400,41.36333664015513,24.578122642248125,-0.07954059247017597,0.3546979050860614,63.680034925814674
H+7,regressor,0.03,31,20,0.85,0.85,1,400,41.36333664015513,24.578122642248125,-0.07954059247017597,0.3546979050860614,63.680034925814674
H+7,regressor,0.03,15,20,0.85,0.85,1,600,41.414394414434504,24.542828471481755,-0.08220734825119069,0.3515553175193926,63.79933112367306
H+7,regressor,0.03,31,20,0.85,0.85,1,600,41.414394414434504,24.542828471481755,-0.08220734825119069,0.3515553175193926,63.79933112367306
H+7,regressor,0.03,15,20,0.85,0.85,1,500,41.43202756852833,24.60249579832333,-0.08312909498508647,0.3516432838863277,63.834512354927924
H+7,regressor,0.03,31,20,0.85,0.85,1,500,41.43202756852833,24.60249579832333,-0.08312909498508647,0.3516432838863277,63.834512354927924
H+7,regressor,0.05,31,10,0.85,0.85,1,400,41.741517184441044,25.40423737380906,-0.09937108132950323,0.2702617617842545,64.16762164613799
H+7,regressor,0.05,31,10,0.85,0.85,1,600,41.74370793451787,25.39451047860734,-0.09948648252454717,0.2706138230593935,64.16962865731826
H+7,regressor,0.05,31,10,0.85,0.85,1,500,41.744800402864776,25.39753241059407,-0.0995440322707033,0.27031965031027627,64.1707739096347
H+7,regressor,0.03,31,10,0.85,0.85,1,400,42.03308933104481,24.968588648824493,-0.11478333962870457,0.2624906182068234,64.46575989775226
H+7,regressor,0.03,31,10,0.85,0.85,1,500,42.03504449050365,24.952654626621737,-0.11488704982069975,0.2628861711419562,64.46925675799518
H+7,regressor,0.03,31,10,0.85,0.85,1,600,42.036659305734794,24.93663809170515,-0.1149727103066911,0.26336390473265525,64.47396910594428
H+7,regressor,0.05,15,10,0.85,0.85,1,600,42.52918291898634,25.057834681898157,-0.14125298397682284,0.26162560293974296,65.33473294097678
H+7,regressor,0.05,15,10,0.85,0.85,1,500,42.53169012567792,25.061738976375022,-0.14138754764647565,0.2613082402334093,65.33859927100481
H+7,regressor,0.05,15,10,0.85,0.85,1,400,42.535216083112275,25.071932978981277,-0.14157680185743549,0.26129365382064085,65.34593767607224
H+7,regressor,0.03,15,10,0.85,0.85,1,400,42.70340730281291,25.23754075692635,-0.1506226146432248,0.26176746470306256,65.53880693896744
H+7,regressor,0.03,15,10,0.85,0.85,1,600,42.725543609115924,25.233595247529173,-0.15181582791910397,0.2623084816940429,65.58935843083137
H+7,regressor,0.03,15,10,0.85,0.85,1,500,42.73194351695122,25.247708982467948,-0.15216091737206394,0.26145861814447957,65.59489092425312
H+7,regressor,0.05,31,5,0.85,0.85,1,400,43.01397877843275,25.46567425105721,-0.167419870307304,0.23330246072592276,65.74953415896564
H+7,regressor,0.05,31,5,0.85,0.85,1,600,43.01460818616918,25.465011656835344,-0.16745403540873416,0.23324430136500596,65.75015537675601
H+7,regressor,0.05,31,5,0.85,0.85,1,500,43.01482066862702,25.46581211332428,-0.16746556935619994,0.2332438091604037,65.75082255166042
H+7,regressor,0.03,7,20,0.85,0.85,1,400,42.76662192758753,25.3791363557498,-0.15403171090870793,0.29924392295160435,65.9008855380663
H+7,regressor,0.03,7,20,0.85,0.85,1,500,42.95723209805882,25.46482886997429,-0.16434163827969783,0.2896879315038326,66.25209131168663
H+7,regressor,0.03,7,20,0.85,0.85,1,600,43.03781612633236,25.46416834958583,-0.16871414278584207,0.2838393021507238,66.38594943984765
H+7,regressor,0.03,15,5,0.85,0.85,1,400,43.272790090423655,25.038653609561948,-0.18151065921602738,0.2637960704502907,66.51501155805427
H+7,regressor,0.05,15,5,0.85,0.85,1,400,43.68892896393654,25.41744941597174,-0.20434425199757067,0.20801585676459844,66.51586036253087
