forecast_horizon,forecast_horizon_label,model_key,keep_per_var,score,RMSE_raw,MAE_raw,R2_raw,feature_count
8,H+8,lgb,4,66.77572121352591,43.310762481910864,25.519966183043163,-0.1835851485150739,87
8,H+8,lgb,2,67.06519106822671,43.40014296981893,24.89742348012596,-0.18847532226773223,65
8,H+8,lgb,5,67.09383841819884,43.29191966748842,25.609608064618367,-0.18255550956855493,98
8,H+8,lgb,3,67.30363689872149,43.622443520399756,25.242122515925843,-0.20068151923203859,76
8,H+8,lgb,1,68.81128796020478,44.33481466571544,25.74411221826706,-0.2402168931877795,54
