forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+8,regressor,0.05,31,5,0.85,0.85,1,400,42.25320061582332,24.585459915844385,-0.1264893012138637,0.22169842561054828,64.43521273080309
H+8,regressor,0.05,31,5,0.85,0.85,1,600,42.255661080217685,24.592214770939147,-0.1266204992048099,0.22156780985740762,64.43888850571672
H+8,regressor,0.05,31,5,0.85,0.85,1,500,42.25627472847758,24.591076580638976,-0.12665322162406434,0.22155503101148957,64.44000266126953
H+8,regressor,0.03,31,5,0.85,0.85,1,500,42.42877964320369,24.256725646400774,-0.1358707841342377,0.22307495862827031,64.60216182861515
H+8,regressor,0.03,31,5,0.85,0.85,1,400,42.42962709397964,24.25695392624349,-0.1359161591932745,0.22295414628045004,64.60405011289232
H+8,regressor,0.03,31,5,0.85,0.85,1,600,42.431178163166365,24.25777708575546,-0.13599921044203023,0.22296223978654828,64.60542341444722
H+8,regressor,0.05,7,5,0.85,0.85,1,400,42.75372971668183,24.795926906031085,-0.1533360385824023,0.2642130901187218,65.53879402340351
H+8,regressor,0.05,7,5,0.85,0.85,1,500,42.7707290057982,24.790766093622395,-0.15425337564949593,0.2655210608084425,65.55197236787559
H+8,regressor,0.05,7,5,0.85,0.85,1,600,42.782830699892095,24.78398385701374,-0.15490664472953108,0.2656613895243932,65.57293953151424
H+8,regressor,0.05,15,5,0.85,0.85,1,400,43.079457513024884,24.774550028252605,-0.1709768236482745,0.22664168633405887,65.80522139054996
H+8,regressor,0.05,15,5,0.85,0.85,1,500,43.08007935185492,24.77596418409417,-0.17101062927886646,0.22662966038385074,65.80705151488682
H+8,regressor,0.05,15,5,0.85,0.85,1,600,43.08162941553917,24.77617162944327,-0.17109489902641095,0.22661324726246743,65.8088401620921
H+8,regressor,0.03,15,5,0.85,0.85,1,400,43.00531652740409,24.73675927830005,-0.16694972241481376,0.2477878372242123,65.94642261804134
H+8,regressor,0.05,31,10,0.85,0.85,1,500,42.884486895009715,25.093772151630592,-0.16040150770618888,0.20871938764504103,65.94733414034167
H+8,regressor,0.05,31,10,0.85,0.85,1,400,42.88357324199721,25.098177651364658,-0.16035206357773202,0.20864622444520414,65.94780389606245
