forecast_horizon_label,model_part,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+2,regressor,0.03,7,20,0.85,0.85,1,400,25.35864325468467,15.089870082453697,0.5942487408794753,0.8035193086904903,37.88112387537345
H+2,regressor,0.03,7,5,0.85,0.85,1,400,25.407015616943646,15.223385880083775,0.5926992994225648,0.8021484457252926,38.01232597407745
H+2,regressor,0.03,15,10,0.85,0.85,1,400,25.61751522990644,15.369997160852694,0.5859222887450106,0.7954174897636578,38.01530252483959
H+2,regressor,0.03,15,10,0.85,0.85,1,500,25.62683701648864,15.399077963531198,0.5856208819690019,0.7956499424799537,38.03223844320099
H+2,regressor,0.03,15,10,0.85,0.85,1,600,25.648561335224255,15.427408945229041,0.5849180313087857,0.7954654937715615,38.05994494586138
H+2,regressor,0.03,7,20,0.85,0.85,1,500,25.506870927270853,15.169558248340548,0.5894914404716094,0.8022267508816671,38.1064934496604
H+2,regressor,0.05,7,5,0.85,0.85,1,400,25.622992630876766,15.34367803533533,0.5857451980232632,0.8013431315809951,38.16564764909216
H+2,regressor,0.05,7,5,0.85,0.85,1,600,25.641272424426084,15.403442852824911,0.5851539170963338,0.8007281676845646,38.23321913946051
H+2,regressor,0.03,31,10,0.85,0.85,1,400,25.75909077653254,15.484051189477007,0.5813328296220757,0.7912094152963461,38.23656759309589
H+2,regressor,0.05,7,5,0.85,0.85,1,500,25.64813135172827,15.38579542516366,0.584931948416856,0.8008804422232126,38.23694737772281
H+2,regressor,0.05,15,10,0.85,0.85,1,400,25.94208705637862,15.214800040770694,0.5753631565720532,0.7899024473808152,38.243137751451115
H+2,regressor,0.03,31,10,0.85,0.85,1,500,25.77397629199495,15.492519737552408,0.5808488158522827,0.7910599771099001,38.24802353279579
H+2,regressor,0.03,7,5,0.85,0.85,1,500,25.552212236681726,15.329752814039503,0.5880306937571356,0.8015168179275288,38.25109814450456
H+2,regressor,0.05,15,10,0.85,0.85,1,500,25.943778644695122,15.226551485725292,0.5753077767453846,0.7899418332073959,38.252822903647925
H+2,regressor,0.05,15,10,0.85,0.85,1,600,25.947592996318914,15.230779393587001,0.5751828878787836,0.7898617575167612,38.25886935550789
H+2,regressor,0.03,31,10,0.85,0.85,1,600,25.798733978082865,15.513303054036614,0.5800431817244047,0.7907584415992338,38.29172450209593
H+2,regressor,0.03,7,20,0.85,0.85,1,600,25.65391483177163,15.210385354337205,0.5847447372385789,0.8004110969082039,38.324115696247645
H+2,regressor,0.03,7,5,0.85,0.85,1,600,25.66093508591989,15.368099131221442,0.5845174349827298,0.7998402945916987,38.46689984585674
H+2,regressor,0.05,7,20,0.85,0.85,1,400,25.893415889213234,15.127451781077246,0.5769550241073347,0.7921415298854064,38.57633152116919
H+2,regressor,0.03,15,20,0.85,0.85,1,400,25.923812403339312,15.22235073258581,0.5759612085101157,0.794830896929933,38.63225172078072
H+2,regressor,0.03,31,20,0.85,0.85,1,400,25.923812403339312,15.22235073258581,0.5759612085101157,0.794830896929933,38.63225172078072
H+2,regressor,0.05,7,10,0.85,0.85,1,400,26.017602720499365,15.46598178903319,0.572887380030277,0.79200117621389,38.760359801528594
H+2,regressor,0.05,7,20,0.85,0.85,1,500,26.011225098480008,15.225160686763479,0.5730967482046192,0.7913434860989486,38.76482200194038
H+2,regressor,0.05,7,10,0.85,0.85,1,500,26.043653813998255,15.529745399860124,0.5720316269884806,0.7919667327820289,38.8106014931848
H+2,regressor,0.03,15,20,0.85,0.85,1,500,26.032840877693637,15.287370407182975,0.572386925376078,0.7930096303447928,38.83183691624631
H+2,regressor,0.03,31,20,0.85,0.85,1,500,26.032840877693637,15.287370407182975,0.572386925376078,0.7930096303447928,38.83183691624631
H+2,regressor,0.05,7,10,0.85,0.85,1,600,26.0657313258389,15.563219759357123,0.5713057317909331,0.7916735642005691,38.85118911020779
H+2,regressor,0.05,7,20,0.85,0.85,1,600,26.091137076239807,15.27055337775174,0.570469644960539,0.7903941538252315,38.88275406781725
H+2,regressor,0.03,15,20,0.85,0.85,1,600,26.059040124369222,15.317395469644472,0.5715257993965723,0.7928751101676149,38.8890944343798
H+2,regressor,0.03,31,20,0.85,0.85,1,600,26.059040124369222,15.317395469644472,0.5715257993965723,0.7928751101676149,38.8890944343798
