forecast_horizon_label,model_part,grid_id,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,nrounds,best_nrounds,validation_RMSE_raw,validation_MAE_raw,validation_R2_raw,validation_Correlation_raw,validation_score
H+1,regressor,3,0.02,31,4,8,0.8,0.9,1,0.1,1.5,900,51,42.321790216916746,31.918850405484164,-0.1301495287547556,-0.3825967986301319,48.70556029801358
H+1,regressor,1,0.03,15,3,5,0.85,0.85,1,0.05,1,700,38,42.55299934711031,32.06591896193629,-0.14253154981726346,-0.36683074569135654,48.966183139497566
H+1,regressor,2,0.03,31,4,8,0.85,0.85,1,0.05,1,800,36,42.59752778306839,31.926782833537445,-0.14492394340578585,-0.38112026144171485,48.98288434977587
H+1,regressor,6,0.03,63,5,12,0.8,0.8,1,0.2,2,800,39,43.169487293153935,32.352936874822646,-0.17587627926733163,-0.3203579911988729,49.640074668118466
H+1,regressor,4,0.05,15,3,8,0.85,0.85,1,0.05,1,600,23,43.600601277203864,32.91831140842041,-0.1994794310449235,-0.3671117057696542,50.18426355888795
H+1,regressor,5,0.05,31,4,12,0.8,0.8,1,0.1,2,650,28,43.99838282028664,31.546584052443833,-0.22146570047816483,-0.29129086938642434,50.30769963077541
