"Feature","Gain","Cover","Frequency","forecast_horizon_label","model_part"
"neighbor_env_rainfall_mean_rollmean_lag1_w4",0.00488131995307862,0.00132276929245205,0.0101970511230536,"H+0","regressor"
"neighbor_env_v_component_of_wind_10m_mean_rollmean_lag1_w4",0.00475861222703793,0.00403288988010518,0.0071654953837674,"H+0","regressor"
"rh_lag20",0.00470936842867531,0.00334428073015045,0.0107482430756511,"H+0","regressor"
"rainfall_rollmean_lag1_w4",0.00463953572693608,0.000883556150496695,0.0101970511230536,"H+0","regressor"
"city_env_v_component_of_wind_10m_mean_lag9",0.00461417516902104,0.0177026807421435,0.00909466721785862,"H+0","regressor"
"neighbor_env_rh_mean_rollmean_lag1_w8",0.00461241687639135,0.00272445403840811,0.00730329337191677,"H+0","regressor"
"barangaySAN NICOLAS CENTRAL",0.00435714443582796,0.0225237414299317,0.00647650544302053,"H+0","regressor"
"city_env_rainfall_mean_lag4",0.00422073398366559,0.00712628995851489,0.00840567727711175,"H+0","regressor"
"percent_mangrove_forest",0.00411073730670345,0.0142920859248791,0.00578751550227367,"H+0","regressor"
"city_env_v_component_of_wind_10m_mean_rollmean_lag1_w8",0.00410002016146697,0.00450729390684043,0.0035827476918837,"H+0","regressor"
"temp_c_rollmean_lag1_w4",0.00387479448033527,0.00524455229744183,0.00950806118230674,"H+0","regressor"
"neighbor_env_u_component_of_wind_10m_mean_lag8",0.00373338485056817,0.000995604507009048,0.00620090946672179,"H+0","regressor"
"neighbor_env_v_component_of_wind_10m_mean_rollmean_lag1_w8",0.00352734390031899,0.00129505594261338,0.00523632354967617,"H+0","regressor"
"v_component_of_wind_10m_lag11",0.00349428377897854,0.00292315489426358,0.00950806118230674,"H+0","regressor"
"rh_lag19",0.00347502695809819,0.0010894327844354,0.00937026319415737,"H+0","regressor"
"wind_speed_10m_lag15",0.003447800148386,0.00235459065755819,0.0125396169215929,"H+0","regressor"
"temp_c_rollmean_lag1_w8",0.00338264063679796,0.00199375584189961,0.00799228331266364,"H+0","regressor"
"barangaySIRAO",0.00336031665025439,0.00755480883742274,0.00551191952597492,"H+0","regressor"
"percent_perennial_crop",0.00332654406874039,0.00804267725516192,0.00551191952597492,"H+0","regressor"
"neighbor_env_u_component_of_wind_10m_mean_lag9",0.00312595804554555,0.002736898491232,0.00496072757337743,"H+0","regressor"
"wind_speed_10m_rollmean_lag1_w4",0.00300524844324925,0.00336810745165808,0.00744109136006614,"H+0","regressor"
"temp_c_lag14",0.00293343625566752,0.00125513954543721,0.00950806118230674,"H+0","regressor"
"neighbor_env_v_component_of_wind_10m_mean_lag9",0.00291657264688545,0.000910937567791564,0.00578751550227367,"H+0","regressor"
"rainfall_lag20",0.00288091025245306,0.00126677528988167,0.00730329337191677,"H+0","regressor"
"neighbor_env_temp_c_mean_lag14",0.00281811757857384,0.00545902296669636,0.00840567727711175,"H+0","regressor"
"barangay_classificationUrban",0.00277110171280229,0.00112440640427753,0.00248036378668871,"H+0","regressor"
"barangayKALUBIHAN (POB.)",0.00274403068781709,0.00138841951447841,0.00413393964448119,"H+0","regressor"
"neighbor_env_rainfall_mean_lag20",0.00272862171452755,0.00167861908481647,0.00578751550227367,"H+0","regressor"
"barangayPARI-AN",0.00265504173953594,0.00111455102529527,0.00454733360892931,"H+0","regressor"
"barangayLABANGON",0.00243406022515377,0.0125540509147225,0.00372054568003307,"H+0","regressor"
"neighbor_env_temp_c_mean_rollmean_lag1_w8",0.00241306709030161,0.00145279028742685,0.00675210141931928,"H+0","regressor"
"percent_annual_crop",0.00223263356225269,0.00182636527763016,0.00413393964448119,"H+0","regressor"
"percent_inland_water",0.00217362649240519,0.0027926933342761,0.00303155573928621,"H+0","regressor"
"rainfall_lag4",0.00202197146731416,0.000530186799505025,0.0086812732534105,"H+0","regressor"
"neighbor_env_temp_c_mean_lag15",0.00201664313732916,0.0015555324624385,0.00675210141931928,"H+0","regressor"
